name,website,email,phone,country,city,industry,company_size,linkedin,instagram,tags,signals,style_fit,evidence,source
Architectenbureau Ruben Wennekers,http://rubenwennekers.nl,r.wennekers@rubenwennekers.nl,+31 299 397 516,Netherlands,Oosthuizen,Architecture,solo,,,residential;renovation;interior,,3,"BNA member bureau covering architecture, urban planning, interior architecture, housing and transformations; founder's own named email published in the register",BNA member register
SNELLEN architectenbureau,https://www.snellenarchitecten.nl,bureau@snellenarchitecten.nl,+31 20 448 0891,Netherlands,Amsterdam,Architecture,small,,,residential;transformation,,3,"BNA member bureau specialising in architecture and housing - advice, coordination, design, new build and transformation",BNA member register
Architectenbureau DBL,http://www.dbl-lunteren.nl,jacolien@dbl-lunteren.nl,+31 318 482 462,Netherlands,Lunteren,Architecture,small,,,culture;hospitality;retail;healthcare,,2,"BNA member bureau across culture and recreation, hospitality and retail, religious and government buildings, housing and healthcare; named-person email",BNA member register
Architectenbureau Van den Hoeven,https://www.vandenhoeven.nl,info@vandenhoeven.nl,+31 348 444 629,Netherlands,Harmelen,Architecture,small,,,residential;utility,,2,BNA member bureau in Harmelen,BNA member register
Architectenbureau Hoogeveen,http://www.architectenbureau-hoogeveen.nl,office@hoogeveen.archi,+31 20 643 4848,Netherlands,Amstelveen,Architecture,small,,,residential;utility,,2,"BNA member bureau; email sits on the separate hoogeveen.archi domain, both MX-verified",BNA member register
KHV Architecten,https://www.khvarchitecten.nl,info@khva.nl,+31 527 699 999,Netherlands,Emmeloord,Architecture,small,,,residential;utility;agricultural,,2,"BNA member bureau in Emmeloord; email on the khva.nl domain, both MX-verified",BNA member register
BURO ID architecten,https://buroid.nl,info@buroid.nl,+31 6 2607 2557,Netherlands,Rotterdam,Architecture,small,,,architecture;interior-architecture,,4,BNA member bureau on Schiekade covering architecture and interior architecture,BNA member register
Open Muur architecten,https://openmuur.nl,info@openmuur.nl,+31 33 461 3013,Netherlands,Amersfoort,Architecture,small,,,culture;recreation;retail;education;housing,,3,"BNA member bureau across architecture, interior architecture and urban planning, with a stated focus on climate challenges",BNA member register
Studio VVKH,https://www.vvkh.nl,info@vvkh.nl,+31 71 514 9957,Netherlands,Leiden,Architecture,small,,,architecture;heritage,,3,BNA member bureau in Leiden,BNA member register
De Zwarte Hond,https://dezwartehond.nl,,,Netherlands,Rotterdam,Architecture,medium,,,urbanism;housing;public,,4,"BNA member bureau on Westblaak, Rotterdam; part of a multi-office practice (Rotterdam, Groningen, Cologne); no email in the register entry",BNA member register
AAS Groningen,https://aasgroningen.nl,,+31 50 312 3737,Netherlands,Groningen,Architecture,small,,,circular;renovation;bim;earthquake-safe,,4,"BNA member bureau covering renovation and transformation, circular construction, BIM and earthquake-safe design for the Groningen region; domain has no MX record so the register's email was cleared",BNA member register
Boeijenjong Architecten,https://www.boeijenjong.nl,info@boeijenjong.nl,+31 6 3191 7693,Netherlands,Nijmegen,Architecture,solo,,,residential;renovation,,3,BNA member bureau in Nijmegen,BNA member register
Heyligers architects,https://www.heyligersarchitects.nl,info@heyligersarchitects.nl,+31 30 752 5844,Netherlands,Utrecht,Architecture,small,,,workplace;interior;transformation,,4,BNA member bureau in Utrecht working across architecture and interiors,BNA member register
Bouwnext Groep,https://www.bouwnext.nl,info@bouwnext.nl,+31 318 698 435,Netherlands,Ede,Architecture,small,,,residential;utility,,2,BNA member bureau in Ede,BNA member register
ASNOVA Architecture,https://www.asnova.nl,info@asnova.nl,+31 30 240 0446,Netherlands,Utrecht,Architecture,small,,,residential;sustainable,,3,BNA member bureau in Utrecht,BNA member register
SDAA architecten & adviseurs,https://www.sdaa.nl,bureau@sdaa.nl,+31 6 5320 6833,Netherlands,Apeldoorn,Architecture,small,,,residential;advisory,,3,BNA member bureau in Apeldoorn,BNA member register
Van Manen en Zwart Architekten,https://www.vmez.nl,info@vmez.nl,+31 512 584 646,Netherlands,Drachten,Architecture,small,,,residential;circular;digital-design,,3,"BNA member bureau in Drachten specialising in housing with circular construction and digital design expertise",BNA member register
Powerhouse Company,https://powerhouse-company.com,info@powerhouse-company.com,,Netherlands,Rotterdam,Architecture,medium,,,modern-villa;luxury-residential,,7,Rotterdam practice doing modern villas and luxury residential.,Manual list - 2026-08-08
KAAN Architecten,https://kaanarchitecten.com,info@kaanarchitecten.com,,Netherlands,Rotterdam,Architecture,medium,,,minimal-mixed-use;facade,,7,Rotterdam practice doing minimal mixed-use and facade work.,Manual list - 2026-08-08
Benthem Crouwel Architects,https://www.benthemcrouwel.com,bd@benthemcrouwel.nl,+31 20 642 01 05,Netherlands,Amsterdam,Architecture,medium,,,transport;museums;infrastructure,,6,"Diemen practice behind the Stedelijk extension. Publishes a dedicated business-development inbox for proposals, which is the one written here; mail runs on benthemcrouwel.nl while the site is .com.",Manual list - 2026-08-08
Neutelings Riedijk Architects,https://www.neutelings-riedijk.com,,+31 10 404 66 77,Netherlands,Rotterdam,Architecture,medium,,,cultural;civic;expressive,,7,"Weena Rotterdam practice. The general address on their site is masked, so none was written.",Manual list - 2026-08-08
Barcode Architects,https://barcodearchitects.com,info@barcodearchitects.com,+31 10 425 66 50,Netherlands,Rotterdam,Architecture,small,,,housing;towers;urban,,7,Scheepmakershaven Rotterdam practice.,Manual list - 2026-08-08
Studioninedots,https://studioninedots.nl,info@studioninedots.nl,+31 20 488 9269,Netherlands,Amsterdam,Architecture,small,,,housing;urban;collaborative,,8,Karperweg Amsterdam studio - a close style match.,Manual list - 2026-08-08
Atelier Kempe Thill,https://atelierkempethill.com,info@atelierkempethill.com,+31 10 750 37 07,Netherlands,Rotterdam,Architecture,small,,,housing;restraint;van-nelle,,8,"Van Nelleweg Rotterdam practice - restrained, rigorous housing work and a close style match. The source sheet's kempe-thill.nl is dead; atelierkempethill.com is the real domain.",Manual list - 2026-08-08
Space Encounters,https://space-encounters.eu,info@space-encounters.eu,+31 20 204 4598,Netherlands,Amsterdam,Architecture,small,,,interiors;adaptive-reuse;playful,,8,Valschermkade Amsterdam office for architecture.,Manual list - 2026-08-08
MONADNOCK,https://monadnock.nl,mail@monadnock.nl,+31 10 477 3770,Netherlands,Rotterdam,Architecture,small,,,monumental;colour;public,,8,"Rotterdam practice known for compact, monumental public work.",Manual list - 2026-08-08
korth tielens architecten,https://korthtielens.nl,architecten@korthtielens.nl,+31 20 427 2825,Netherlands,Amsterdam,Architecture,small,,,housing;social;amsterdam,,8,"Overtoom Amsterdam practice, known for socially conscious housing.",Manual list - 2026-08-08
NL Architects,http://www.nlarchitects.nl,office@nlarchitects.nl,+31 20 620 73 23,Netherlands,Amsterdam,Architecture,small,,,playful;housing;adaptive-reuse,,7,"Van Hallstraat Amsterdam practice, Mies van der Rohe Award winner for the DeFlat Kleiburg renovation.",Manual list - 2026-08-08
CIVIC Architects,https://www.civicarchitects.eu,,+31 20 846 0158,Netherlands,Amsterdam,Architecture,small,,,public;libraries;adaptive-reuse,,8,"Donauweg Amsterdam practice working on public architecture, known for the LocHal library. The address on their site is masked, so none was written.",Manual list - 2026-08-08
Office Winhov,https://www.winhov.nl,office@winhov.nl,,Netherlands,Amsterdam,Architecture,small,,,housing;adaptive-reuse;restraint,,8,Johan van Hasseltweg Amsterdam practice.,Manual list - 2026-08-08
Cepezed,https://www.cepezed.nl,post@cepezed.nl,+31 15 215 0000,Netherlands,Delft,Architecture,medium,,,prefab;sustainable;industrialized,,5,"Delft practice specialising in industrialized, prefab construction.",UAE and Kuwait import list - 2026-08-09
Concrete,https://concreteamsterdam.nl,info@concreteamsterdam.nl,+31 20 5200 200,Netherlands,Amsterdam,Interior Design,medium,,,hospitality;retail;multidisciplinary,,6,Amsterdam multidisciplinary interior and architecture studio since 1997.,UAE and Kuwait import list - 2026-08-09
i29 interior architects,https://i29.nl,info@i29.nl,+31 20 695 61 20,Netherlands,Duivendrecht,Interior Design,small,,,high-end-interiors;residential;retail,,7,Duivendrecht high-end interior architecture studio.,UAE and Kuwait import list - 2026-08-09
NEXT Architects,https://www.nextarchitects.com,info@nextarchitects.com,+31 20 4630463,Netherlands,Amsterdam,Architecture,medium,,,amsterdam;mixed-use,,5,Amsterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
Zecc Architecten,https://www.zecc.nl,info@zecc.nl,+31 30 273 1289,Netherlands,Utrecht,Architecture,small,,,utrecht;adaptive-reuse;residential,,6,Utrecht practice known for adaptive reuse work.,UAE and Kuwait import list - 2026-08-09
HofmanDujardin,https://www.hofmandujardin.nl,office@hofmandujardin.nl,+31 20 528 64 20,Netherlands,Amsterdam,Architecture,medium,,,workplace;residential;amsterdam,,5,Amsterdam architecture and interior design practice.,UAE and Kuwait import list - 2026-08-09
Atelier PRO,https://www.atelierpro.nl,info@atelierpro.nl,+31 70 350 6900,Netherlands,The Hague,Architecture,medium,,,the-hague;institutional,,4,Kerkhoflaan The Hague architecture practice.,UAE and Kuwait import list - 2026-08-09
Paul de Ruiter Architects,https://paulderuiter.nl,info@paulderuiter.nl,+31 20 626 3244,Netherlands,Amsterdam,Architecture,medium,,,sustainability;amsterdam,,5,Valschermkade Amsterdam practice with a sustainability focus.,UAE and Kuwait import list - 2026-08-09
Fokkema & Partners Architecten,https://fokkema-partners.nl,info@fokkema-partners.nl,+31 15 215 8281,Netherlands,Delft,Architecture,medium,,,workplace;delft,,4,Phoenixstraat Delft workplace-specialist architecture practice.,UAE and Kuwait import list - 2026-08-09
GROUP A,https://www.groupa.nl,mail@groupa.nl,+31 10 244 0193,Netherlands,Rotterdam,Architecture,medium,,,rotterdam;sustainability,,5,Keilestraat Rotterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
Rijnboutt,https://rijnboutt.nl,office@rijnboutt.nl,+31 20 530 4810,Netherlands,Amsterdam,Architecture,medium,,,amsterdam;commercial;top-ranked,,4,"Moermanskkade Amsterdam practice, consistently top-ranked in commercial architecture.",UAE and Kuwait import list - 2026-08-09
Bureau Kroner,https://bureaukroner.nl,info@bureaukroner.nl,+31 70 302 0735,Netherlands,The Hague,Architecture,small,,,the-hague;small-studio,,5,Leemansplein The Hague small architecture practice.,UAE and Kuwait import list - 2026-08-09
Orange Architects,https://orangearchitects.nl,info@orangearchitects.nl,+31 10 201 0405,Netherlands,Rotterdam,Architecture,small,,,rotterdam;residential,,5,Kipstraat Rotterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
Studio Modijefsky,https://www.studiomodijefsky.nl,mail@studiomodijefsky.nl,020 737 2688,Netherlands,Amsterdam,Interior Design,small,,,hospitality;interior;amsterdam,,7,Sint Jansstraat Amsterdam interior design studio for hospitality/retail spaces.,UAE and Kuwait import list - 2026-08-09
Kraaijvanger,https://www.kraaijvanger.nl,contact@kraaijvanger.nl,+31 10 498 92 92,Netherlands,Rotterdam,Architecture,medium,,,rotterdam;since-1927,,4,Blaak Rotterdam architecture practice founded 1927.,UAE and Kuwait import list - 2026-08-09
Wiel Arets Architects,https://www.wielaretsarchitects.com,,+31 20 5776000,Netherlands,Amsterdam,Architecture,medium,,,amsterdam-maastricht,,4,De Lairessestraat Amsterdam practice; the published info@ address sits on a domain with no MX record so it was not written.,UAE and Kuwait import list - 2026-08-09
SeARCH,https://www.search.nl,info@search.nl,+31 20 788 9900,Netherlands,Amsterdam,Architecture,medium,,,urban-planning;amsterdam,,4,Hamerstraat Amsterdam urban planning and architecture bureau.,UAE and Kuwait import list - 2026-08-09
Team V Architecture,https://teamv.nl,info@teamv.nl,+31 20 344 9500,Netherlands,Amsterdam,Architecture,medium,,,amsterdam;housing,,4,Asterweg Amsterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
ZJA,https://www.zja.nl,info@zja.nl,020 5352200,Netherlands,Amsterdam,Architecture,medium,,,infrastructure;bridges;amsterdam,,3,Pedro de Medinalaan Amsterdam practice specialising in bridges and infrastructure.,UAE and Kuwait import list - 2026-08-09
Architecten aan de Maas,https://www.architectenaandemaas.com,info@architectenaandemaas.com,043-3515000,Netherlands,Maastricht,Architecture,small,,,maastricht;residential,,5,Alexander Battalaan Maastricht architecture practice.,UAE and Kuwait import list - 2026-08-09
VenhoevenCS,https://venhoevencs.nl,info@venhoevencs.nl,+31 20 6228210,Netherlands,Amsterdam,Architecture,medium,,,sports;leisure;amsterdam,,4,Hoogte Kadijk Amsterdam practice specialising in sports and leisure buildings.,UAE and Kuwait import list - 2026-08-09
LIAG architects and engineers,https://liag.nl,info@liag.nl,0031703507272,Netherlands,The Hague,Architecture,medium,,,the-hague;engineering,,4,Koninginnegracht The Hague architecture and engineering practice.,UAE and Kuwait import list - 2026-08-09
Dok architecten,https://dokarchitecten.nl,post@dokarchitecten.nl,+31 20 3449 700,Netherlands,Amsterdam,Architecture,small,,,amsterdam;small-studio,,5,Kraanspoor Amsterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
Diederendirrix,https://www.diederendirrix.nl,info@diederendirrix.nl,+31 40 260 6740,Netherlands,Eindhoven,Architecture,small,,,eindhoven;urban-design,,5,Dommelstraat Eindhoven architecture and urban design practice.,UAE and Kuwait import list - 2026-08-09
Space&Matter,https://www.spaceandmatter.nl,info@spaceandmatter.nl,+31 20 630 6590,Netherlands,Amsterdam,Architecture,small,,,circular-economy;amsterdam,,6,Johan van Hasseltkade Amsterdam practice focused on circular economy design.,UAE and Kuwait import list - 2026-08-09
Studio RAP,https://studiorap.nl,office@studiorap.nl,0103076364,Netherlands,Rotterdam,Architecture,small,,,robotic-fabrication;3d-printed-ceramics,,6,Scheepsbouwweg Rotterdam practice combining computational design and robotic fabrication.,UAE and Kuwait import list - 2026-08-09
Studio Woodroffe Papa,https://www.woodroffepapa.com,info@woodroffepapa.com,+44 (0)20 7336 7026,Netherlands,Amsterdam,Architecture,small,,,london-amsterdam;boutique,,6,"KNSM-Laan Amsterdam studio, sister office to a London practice. Cache listed the city as Rotterdam - corrected to Amsterdam.",UAE and Kuwait import list - 2026-08-09
OMA,https://www.oma.com,,+31 10 243 82 00,Netherlands,Rotterdam,Architecture,large,,,urbanism;research;rem-koolhaas,,2,"Weena-Zuid Rotterdam HQ of Rem Koolhaas's canonical practice; no plain-text email found published, contact form only.",UAE and Kuwait import list - 2026-08-09
MVSA Architects,https://mvsa-architects.com,info@mvsa-architects.com,+31 20 531 98 00,Netherlands,Amsterdam,Architecture,medium,,,amsterdam,,4,Amsterdam architecture practice.,UAE and Kuwait import list - 2026-08-09
Royal HaskoningDHV,https://www.royalhaskoningdhv.com,,+31 88 348 20 00,Netherlands,Amersfoort,Construction,large,,,engineering;multi-discipline,,1,"Laan 1914 Amersfoort HQ of the major international engineering consultancy; no plain-text general email found published.",UAE and Kuwait import list - 2026-08-09
Witteveen+Bos,https://www.witteveenbos.com,info@witteveenbos.com,+31 570 69 79 11,Netherlands,Deventer,Construction,large,,,engineering;consulting,,1,Deventer HQ of the engineering and consulting practice.,UAE and Kuwait import list - 2026-08-09
Antea Group,https://anteagroup.nl,,+31 513 634 567,Netherlands,Heerenveen,Construction,large,,,engineering;consulting,,1,Tolhuisweg Heerenveen office of the international engineering and consulting group; no plain-text general email found published.,UAE and Kuwait import list - 2026-08-09
Movares,https://www.movares.nl,info@movares.nl,+31 30 265 5555,Netherlands,Utrecht,Construction,medium,,,engineering;consulting;infrastructure,,2,Jaarbeursboulevard Utrecht infrastructure engineering and consulting practice.,UAE and Kuwait import list - 2026-08-09
Overtreders W,https://www.overtreders-w.nl,post@overtreders-w.nl,,Netherlands,Amsterdam,Architecture,small,,,temporary-architecture;circular;small-studio,,6,Obiplein Amsterdam small studio for temporary and circular spatial design.,UAE and Kuwait import list - 2026-08-09
VDLP architecten,https://vdlp-architecten.nl,info@vdlp-architecten.nl,+31 40 212 9215,Netherlands,Eindhoven,Architecture,small,,,bim;3d-visualization,no_inhouse,5,Eindhoven architecture/BIM/3D visualization practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
OPL architecten,https://oplarchitecten.nl,info@oplarchitecten.nl,+31 30 251 1005,Netherlands,Utrecht,Architecture,small,,,urban;housing,no_inhouse,4,"Utrecht architecture/urban/housing practice; site healthy (confirmed via WebFetch, active job postings and 2024-2026 projects); published email pre-verified.",Prepared list review 2026-08-11
Olga Taal Architecten,https://olgataal.nl,info@olgataal.nl,+31 6 255 97114,Netherlands,Eindhoven,Architecture,small,,,interior;3d,no_inhouse,4,Small Eindhoven architecture/interior/3D practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
A&E Architecten,https://ae-architecten.nl,info@ae-architecten.nl,+31 30 659 8933,Netherlands,Bunnik / Utrecht,Architecture,medium,,,interior;public,no_inhouse,4,Bunnik/Utrecht architecture/interior/public practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Engel Architecten,https://engelarchitecten.nl,info@engelarchitecten.nl,+31 35 677 8401,Netherlands,Hilversum,Architecture,small,,,residential;villa;interior,no_inhouse,5,Small Hilversum residential/villa/interior architecture practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Van den Hurk Architecten,https://vandenhurkarchitecten.nl,info@vandenhurkarchitecten.nl,+31 6 10715597,Netherlands,Eindhoven,Architecture,small,,,interior;3d,no_inhouse,4,Small Eindhoven architecture/interior/3D practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
ANAGRAM A-U,https://anagram-au.com,info@anagram-au.com,+31 62 333 4672,Netherlands,Rotterdam,Architecture,small,,,urbanism,no_inhouse,4,Small Rotterdam architecture/urbanism practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Just Open Architecture,https://justopenarch.com,info@justopenarch.com,+31 6 24334921,Netherlands,Rotterdam,Architecture,small,,,urban;public,no_inhouse,4,Rotterdam architecture/urban/public practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Bakers Architecten,https://bakersarchitecten.nl,info@bakersarchitecten.nl,,Netherlands,Utrecht,Architecture,medium,,,hospitality;residential,no_inhouse,5,Utrecht architecture/hospitality/residential practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
BLOOT Architecture,https://bloota.nl,info@bloota.nl,,Netherlands,The Hague,Architecture,small,,,residential;commercial,no_inhouse,4,The Hague architecture/residential/commercial practice; site healthy (redirects); published email pre-verified.,Prepared list review 2026-08-11
Studio Nauta,https://studionauta.eu,info@studionauta.eu,,Netherlands,Rotterdam,Architecture,small,,,urbanism;research,no_inhouse,5,"Rotterdam architecture/urbanism/research studio; site healthy (redirects, confirmed via HTTP); published email pre-verified.",Prepared list review 2026-08-11
Dutch Urban Solutions,https://dutchurbansolutions.com,info@dutchurbansolutions.com,+31 62 2397633,Netherlands,Rotterdam,Architecture,small,,,urban;planning;landscape,no_inhouse,4,Rotterdam urban design/planning/landscape practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
reSET architecture,https://resetarchitecture.com,info@resetarchitecture.com,,Netherlands,'s-Hertogenbosch,Architecture,small,,,urbanism;heritage,no_inhouse,4,'s-Hertogenbosch architecture/urbanism/heritage practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Nugter Architectuur,https://nugterarchitectuur.nl,info@nugterarchitectuur.nl,+31 70 2230022,Netherlands,The Hague,Architecture,small,,,residential,no_inhouse,4,Small The Hague residential architecture practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Arch Mist,https://archmist.nl,info@archmist.nl,,Netherlands,Amsterdam,Architecture,small,,,urban;interior;infrastructure,no_inhouse,4,Small Amsterdam architecture/urban/interior/infrastructure practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Architectenbureau K. van Velsen,https://koenvanvelsen.com,info@koenvanvelsen.com,+31 20 2273700,Netherlands,Amsterdam,Architecture,medium,,,urban;cultural,,4,Amsterdam architecture/urban/cultural practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Architectenbureau Koldeweij,https://architectenbureaukoldeweij.nl,info@architectenbureaukoldeweij.nl,+31 20 4171100,Netherlands,Amsterdam,Architecture,small,,,healthcare,no_inhouse,4,Amsterdam architecture/healthcare practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Micha de Haas Architecten,https://michadehaas.nl,info@michadehaas.nl,+31 20 4275390,Netherlands,Amsterdam,Architecture,small,,,urban;housing,no_inhouse,4,Amsterdam architecture/urban/housing practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Architectenbureau Jowa,https://jowa.nl,info@jowa.nl,+31 20 6244380,Netherlands,Amsterdam,Architecture,small,,,exhibition;interior,no_inhouse,4,Small Amsterdam architecture/exhibition/interior practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Florian Eckardt Architecten,http://nurreckardt.nl,info@nurreckardt.nl,+31 20 3790932,Netherlands,Amsterdam,Architecture,small,,,residential;renovation,no_inhouse,4,"Small Amsterdam residential/renovation architecture practice; domain now serves via redirect to architectinamsterdam.nl (cert mismatch on the old domain, but both resolve and are live); published email pre-verified.",Prepared list review 2026-08-11
Studio PROTOTYPE,https://studioprototype.nl,info@studioprototype.nl,+31 20 7781567,Netherlands,Amsterdam,Architecture,small,,,urbanism;research,no_inhouse,5,Amsterdam architecture/urbanism/research studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
STAR strategies + architecture,https://st-ar.nl,contact@st-ar.nl,+31 10 2135630,Netherlands,Rotterdam,Architecture,small,,,urban;experimental,no_inhouse,5,Rotterdam architecture/urban/experimental practice; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Studio Renders,https://studiorenders.nl,contact@studiorenders.nl,,Netherlands,Rotterdam / Amsterdam / Den Haag,Visualization,small,,,archviz;artist-impression;real-estate-cgi,no_inhouse,6,"Multi-city Dutch archviz/artist-impression/real-estate CGI studio; site healthy; published email pre-verified. Included per standing rule: arch-viz studios are leads, not competitors.",Prepared list review 2026-08-11
RotterDame Design,https://rotterdamedesign.com,info@rotterdamedesign.com,,Netherlands,Rotterdam,Visualization,small,,,archviz;interior;3d;urban-rendering,no_inhouse,5,Rotterdam architecture/interior/3D/urban rendering studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
AVD Studio,https://avdstudio.nl,info@avdstudio.nl,+31 6 23597498,Netherlands,Rotterdam,Visualization,small,,,archviz;technical-drawing,no_inhouse,5,Small Rotterdam architectural visualization/technical drawing studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
3DF Visualisaties,https://3df.nl,info@3df.nl,+31 6 24899544,Netherlands,Netherlands,Visualization,small,,,archviz;animation;real-estate,no_inhouse,5,Dutch archviz/animation/real-estate visualization studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
3D Visualisatie,https://3dvisualisatie.eu,info@3dvisualisatie.eu,+31 6 52834864,Netherlands,Oostburg,Visualization,small,,,urban;interior;real-estate-cgi,no_inhouse,5,Oostburg architecture/urban/interior real-estate CGI studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
PSvisuals,https://psvisuals.nl,info@psvisuals.nl,+31 6 20418125,Netherlands,Netherlands,Visualization,small,,,interior;exterior;landscape,no_inhouse,5,Dutch 3D/interior/exterior/landscape visualization studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
SIDEHOUSE,https://sidehouse.nl,info@sidehouse.nl,+31 6 18327577,Netherlands,Netherlands,Visualization,small,,,archviz;animation;vr,no_inhouse,6,Dutch archviz/animation/VR studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
G3D Multimedia Visuals,https://g3d.nl,info@g3d.nl,+31 6 24488552,Netherlands,Netherlands,Visualization,small,,,real-estate-cgi;photography;video,no_inhouse,5,Dutch real-estate CGI/photography/video studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
3Detailed,https://3detailed.com,info@3detailed.com,+31 6 83710345,Netherlands,Netherlands,Visualization,small,,,archviz;interior,no_inhouse,5,Dutch architectural/interior visualization studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Multivision 3D,https://multivision3d.nl,info@multivision3d.nl,+31 6 21888874,Netherlands,Netherlands,Visualization,small,,,archviz;real-estate;animation;vr,no_inhouse,5,Dutch architecture/real-estate/animation/VR visualization studio; site healthy; published email pre-verified.,Prepared list review 2026-08-11
BUILD Real Estate,https://buildrealestate.nl,info@buildrealestate.nl,,Netherlands,Amsterdam,Real Estate,small,,,developer;luxury,new_project,4,Small Amsterdam luxury real estate developer; site healthy; published email pre-verified.,Prepared list review 2026-08-11
Havick Property,https://havickproperty.nl,info@havickproperty.nl,,Netherlands,Amsterdam,Real Estate,small,,,developer;boutique;investor,new_project,4,Boutique Amsterdam real estate developer/investor; site healthy; published email pre-verified.,Prepared list review 2026-08-11
